codigo,nombre,ingredientes,categoria,cats,etiqueta,beneficios,avisos,contenido,precioPublico,precioPúblico_K,precioMayoreo,precioMayoreo_K,precioDistribuidor,precioDistribuidor_K,Imagen,cantidadArticulos
1,Abre Caminos,,Jabón sólido,,,,,100 gr,20,,,,,,01.webp,1
2,Abre Caminos con miel,,Jabón sólido,,,,,100 gr,20,,,,,,02.webp,1
4,Abre Caminos Menta Coco,,Jabón sólido,,,,,100 gr,20,,,,,,04.webp,1
3,Abre Caminos Miel y Albahaca,,Jabón sólido,,,,,100 gr,20,,,,,,03.webp,1
5,Albahaca,,Jabón sólido,,,,,100 gr,20,,,,,,05.webp,1
6,Almendras,,Jabón sólido,,,,,100 gr,20,,,,,,06.webp,1
7,Almendras y avena,,Jabón sólido,,,,,100 gr,20,,,,,,07.webp,1
8,Aloe Vera,,Jabón sólido,,,,,100 gr,20,,,,,,08.webp,1
12,Aloe vera con Vitamina E,,Jabón sólido,,,,,100 gr,20,,,,,,12.webp,1
9,Aloe vera y ácido hialurónico,,Jabón sólido,,,,,100 gr,20,,,,,,09.webp,1
10,Aloe vera y árnica,,Jabón sólido,,,,,100 gr,20,,,,,,10.webp,1
11,Aloe vera y miel,,Jabón sólido,,,,,100 gr,20,,,,,,11.webp,1
13,Anti acné salicílico y aloe vera,,Jabón sólido,,,,,100 gr,20,,,,,,13.webp,1
14,Arándanos,,Jabón sólido,,,,,100 gr,20,,,,,,14.webp,1
15,Árnica,,Jabón sólido,,,,,100 gr,20,,,,,,15.webp,1
16,Árnica y Vitamina E,,Jabón sólido,,,,,100 gr,20,,,,,,16.webp,1
17,Arroz,,Jabón sólido,,,,,120 gr,20,,,,,,17.webp,1
18,Arroz con aloe vera,,Jabón sólido,,,,,100 gr,20,,,,,,18.webp,1
19,Arroz exfoliante,,Jabón sólido,,,,,120 gr,25,,,,,,19.webp,1
20,Arroz Miel y Canela,,Jabón sólido,,,,,100 gr,20,,,,,,20.webp,1
22,Avena miel,,Jabón sólido,,,,,100 gr,20,,,,,,22.webp,1
23,Avena Miel y Arroz,,Jabón sólido,,,,,100 gr,20,,,,,,23.webp,1
21,Avena para bebé,,Jabón sólido,,,,,100 gr,20,,,,,,21.webp,1
24,Azúfre,,Jabón sólido,,,,,100 gr,20,,,,,,24.webp,1
25,Bergamota,,Jabón sólido,,,,,100 gr,20,,,,,,25.webp,1
26,Bugambilia Eucalipto y Menta,,Jabón sólido,,,,,100 gr,20,,,,,,26.webp,1
27,Café,,Jabón sólido,,,,,100 gr,20,,,,,,27.webp,1
28,Caléndula,,Jabón sólido,,,,,100 gr,20,,,,,,28.webp,1
29,Caléndula y Árnica,,Jabón sólido,,,,,100 gr,20,,,,,,29.webp,1
30,Canela,,Jabón sólido,,,,,100 gr,20,,,,,,30.webp,1
31,Carbón activado,,Jabón sólido,,,,,100 gr,20,,,,,,31.webp,1
32,CBD,,Jabón sólido,,,,,100 gr,35,,,,,,32.webp,1
33,Cempasúchil,,Jabón sólido,,,,,100 gr,20,,,,,,33.webp,1
34,Chocolate,,Jabón sólido,,,,,100 gr,20,,,,,,34.webp,1
35,Cítricos,,Jabón sólido,,,,,100 gr,20,,,,,,35.webp,1
36,Coco,,Jabón sólido,,,,,100 gr,20,,,,,,36.webp,1
37,Concha nacar,,Jabón sólido,,,,,100 gr,20,,,,,,37.webp,1
39,Cúrcuma y Miel,,Jabón sólido,,,,,100 gr,20,,,,,,39.webp,1
40,Durazno,,Jabón sólido,,,,,100 gr,20,,,,,,40.webp,1
41,"Gengibre con limón, cúrcuma y canela",,Jabón sólido,,,,,100 gr,20,,,,,,41.webp,1
42,"Gengibre con naranja, cúrcuma y canela",,Jabón sólido,,,,,100 gr,20,,,,,,42.webp,1
43,Glicerina,,Jabón sólido,,,,,100 gr,20,,,,,,43.webp,1
38,Glicerina con Leche,,Jabón sólido,,,,,100 gr,20,,,,,,38.webp,1
44,Lavanda,,Jabón sólido,,,,,100 gr,20,,,,,,44.webp,1
45,Limón,,Jabón sólido,,,,,100 gr,20,,,,,,45.webp,1
46,Manzana y canela,,Jabón sólido,,,,,100 gr,20,,,,,,46.webp,1
47,Manzanilla,,Jabón sólido,,,,,100 gr,20,,,,,,47.webp,1
48,Mascotas,,Jabón sólido,,,,,100 ml,20,,,,,,48.webp,1
49,Menta,,Jabón sólido,,,,,100 gr,20,,,,,,49.webp,1
50,Miel,,Jabón sólido,,,,,100 gr,20,,,,,,50.webp,1
51,Miel con canela,,Jabón sólido,,,,,100 gr,20,,,,,,51.webp,1
52,Miel con canela y pétalos de rosa,,Jabón sólido,,,,,100 gr,20,,,,,,52.webp,1
53,Neem,,Jabón sólido,,,,,100 gr,20,,,,,,53.webp,1
54,Neem con caléndula,,Jabón sólido,,,,,100 gr,20,,,,,,54.webp,1
55,Nopal,,Jabón sólido,,,,,100 gr,20,,,,,,55.webp,1
56,Romero,,Jabón sólido,,,,,100 gr,20,,,,,,56.webp,1
58,Romero y sándalo,,Jabón sólido,,,,,100 gr,20,,,,,,58.webp,1
59,"Romero, sándalo y castaña de indias",,Jabón sólido,,,,,100 gr,20,,,,,,59.webp,1
60,Rosa de Castilla,,Jabón sólido,,,,,100 gr,20,,,,,,60.webp,1
61,Ruda,,Jabón sólido,,,,,100 gr,20,,,,,,61.webp,1
62,Ruda Albahaca y Sándalo,,Jabón sólido,,,,,100 ml,20,,,,,,62.webp,1
57,Ruda y Albahaca,,Jabón sólido,,,,,100 gr,20,,,,,,57.webp,1
